index,pdb,prot_chain,na_chain,expected_filename,found_path,exists,size,prot_chain_count,na_chain_count,note
34,7NSH,Bk,BB,7NSH_Bk_BB.cif,datasets/PRI30k/PDBs/7NSH_Bk_BB.cif,True,211601,1246,1427,orig
35,7NSH,BS,BB,7NSH_BS_BB.cif,datasets/PRI30k/PDBs/7NSH_BS_BB.cif,True,205439,1168,1427,orig
36,7K9M,A,C,7K9M_A_C.cif,datasets/PRI30k/PDBs/7K9M_A_C.cif,True,347458,11528,6452,orig
37,4V8Q,A0,AB,4V8Q_A0_AB.cif,datasets/PRI30k/PDBs/4V8Q_A0_AB.cif,True,251048,662,2551,orig
38,4V8Q,A0,BV,4V8Q_A0_BV.cif,datasets/PRI30k/PDBs/4V8Q_A0_BV.cif,True,175386,662,1640,orig
39,4V8Q,A3,AB,4V8Q_A3_AB.cif,datasets/PRI30k/PDBs/4V8Q_A3_AB.cif,True,235916,468,2551,orig
40,4V8Q,A6,BW,4V8Q_A6_BW.cif,datasets/PRI30k/PDBs/4V8Q_A6_BW.cif,True,160055,433,1640,orig
41,4V8Q,AC,BW,4V8Q_AC_BW.cif,datasets/PRI30k/PDBs/4V8Q_AC_BW.cif,True,264230,1742,1640,orig
42,4V8Q,AG,AB,4V8Q_AG_AB.cif,datasets/PRI30k/PDBs/4V8Q_AG_AB.cif,True,314384,1474,2551,orig
43,4V8Q,AG,BV,4V8Q_AG_BV.cif,datasets/PRI30k/PDBs/4V8Q_AG_BV.cif,True,243326,1474,1640,orig
44,4V8Q,AQ,AB,4V8Q_AQ_AB.cif,datasets/PRI30k/PDBs/4V8Q_AQ_AB.cif,True,286928,1122,2551,orig
45,4V8Q,AS,AB,4V8Q_AS_AB.cif,datasets/PRI30k/PDBs/4V8Q_AS_AB.cif,True,259550,811,2551,orig
46,4V8Q,AZ,AB,4V8Q_AZ_AB.cif,datasets/PRI30k/PDBs/4V8Q_AZ_AB.cif,True,313292,1460,2551,orig
47,4V8Q,B2,BY,4V8Q_B2_BY.cif,datasets/PRI30k/PDBs/4V8Q_B2_BY.cif,True,194576,1184,1305,orig
48,4V8Q,BG,BW,4V8Q_BG_BW.cif,datasets/PRI30k/PDBs/4V8Q_BG_BW.cif,True,223503,1257,1640,orig
49,4V8Q,BL,BY,4V8Q_BL_BY.cif,datasets/PRI30k/PDBs/4V8Q_BL_BY.cif,True,177962,971,1305,orig
50,4V8Q,BM,BV,4V8Q_BM_BV.cif,datasets/PRI30k/PDBs/4V8Q_BM_BV.cif,True,202790,988,1640,orig
51,4V8Q,BZ,BY,4V8Q_BZ_BY.cif,datasets/PRI30k/PDBs/4V8Q_BZ_BY.cif,True,350354,3015,1305,orig
52,7ZJX,B,S,7ZJX_B_S.cif,datasets/PRI30k/PDBs/7ZJX_B_S.cif,True,187032,2561,1409,orig
53,7ZJX,La,L8,7ZJX_La_L8.cif,datasets/PRI30k/PDBs/7ZJX_La_L8.cif,True,347600,967,3319,orig
54,7ZJX,Lb,L8,7ZJX_Lb_L8.cif,datasets/PRI30k/PDBs/7ZJX_Lb_L8.cif,True,359588,1115,3319,orig
55,7ZJX,LF,L8,7ZJX_LF_L8.cif,datasets/PRI30k/PDBs/7ZJX_LF_L8.cif,True,503039,2886,3319,orig
56,7ZJX,LG,L7,7ZJX_LG_L7.cif,datasets/PRI30k/PDBs/7ZJX_LG_L7.cif,True,402842,2398,2570,orig
57,7ZJX,LI,L7,7ZJX_LI_L7.cif,datasets/PRI30k/PDBs/7ZJX_LI_L7.cif,True,361370,1886,2570,orig
58,7ZJX,LJ,L8,7ZJX_LJ_L8.cif,datasets/PRI30k/PDBs/7ZJX_LJ_L8.cif,True,421310,1877,3319,orig
59,7ZJX,Lk,L8,7ZJX_Lk_L8.cif,datasets/PRI30k/PDBs/7ZJX_Lk_L8.cif,True,351326,1013,3319,orig
60,7ZJX,LL,L7,7ZJX_LL_L7.cif,datasets/PRI30k/PDBs/7ZJX_LL_L7.cif,True,347681,1717,2570,orig
61,7ZJX,LM,L7,7ZJX_LM_L7.cif,datasets/PRI30k/PDBs/7ZJX_LM_L7.cif,True,318926,1362,2570,orig
62,7ZJX,Lm,L8,7ZJX_Lm_L8.cif,datasets/PRI30k/PDBs/7ZJX_Lm_L8.cif,True,330484,706,3319,orig
63,7ZJX,LO,L8,7ZJX_LO_L8.cif,datasets/PRI30k/PDBs/7ZJX_LO_L8.cif,True,305480,0,3319,orig;low_chain_count
64,7ZJX,Lo,L8,7ZJX_Lo_L8.cif,datasets/PRI30k/PDBs/7ZJX_LO_L8.cif,True,305480,447,3319,upper_all
65,7ZJX,LQ,L8,7ZJX_LQ_L8.cif,datasets/PRI30k/PDBs/7ZJX_LQ_L8.cif,True,407054,1701,3319,orig
66,7ZJX,LS,L8,7ZJX_LS_L8.cif,datasets/PRI30k/PDBs/7ZJX_LS_L8.cif,True,373601,1288,3319,orig
67,7ZJX,LV,L7,7ZJX_LV_L7.cif,datasets/PRI30k/PDBs/7ZJX_LV_L7.cif,True,326621,1457,2570,orig
68,7ZJX,LW,L7,7ZJX_LW_L7.cif,datasets/PRI30k/PDBs/7ZJX_LW_L7.cif,True,313742,1298,2570,orig
69,7ZJX,SD,S,7ZJX_SD_S.cif,datasets/PRI30k/PDBs/7ZJX_SD_S.cif,True,126058,550,1777,orig
70,7ZJX,Sk,I,7ZJX_Sk_I.cif,datasets/PRI30k/PDBs/7ZJX_Sk_I.cif,True,319989,598,3489,orig
71,7ZJX,SQ,I,7ZJX_SQ_I.cif,datasets/PRI30k/PDBs/7ZJX_SQ_I.cif,True,391958,1509,3615,orig
72,7ZJX,SZ,I,7ZJX_SZ_I.cif,datasets/PRI30k/PDBs/7ZJX_SZ_I.cif,True,353011,1016,3533,orig
73,8Q7V,a,5,8Q7V_a_5.cif,datasets/PRI30k/PDBs/8Q7V_a_5.cif,True,306006,603,13371,orig
74,8Q7V,b,5,8Q7V_b_5.cif,datasets/PRI30k/PDBs/8Q7V_b_5.cif,True,301582,520,13278,orig
75,8Q7V,c,5,8Q7V_c_5.cif,datasets/PRI30k/PDBs/8Q7V_c_5.cif,True,315565,693,13490,orig
76,8Q7V,d,5,8Q7V_d_5.cif,datasets/PRI30k/PDBs/8Q7V_d_5.cif,True,434460,14,18118,orig
77,8Q7V,D,5,8Q7V_D_5.cif,datasets/PRI30k/PDBs/8Q7V_d_5.cif,True,434460,2196,18118,prot_chain_lower
78,8Q7V,e,5,8Q7V_e_5.cif,datasets/PRI30k/PDBs/8Q7V_e_5.cif,True,303952,572,13177,orig
79,8Q7V,f,5,8Q7V_f_5.cif,datasets/PRI30k/PDBs/8Q7V_f_5.cif,True,301740,513,13127,orig
80,8Q7V,g,5,8Q7V_g_5.cif,datasets/PRI30k/PDBs/8Q7V_g_5.cif,True,302688,526,13521,orig
81,2F8T,A,C,2F8T_A_C.cif,datasets/PRI30k/PDBs/2F8T_A_C.cif,True,515714,15303,14698,orig
82,6NUE,C,H,6NUE_C_H.cif,datasets/PRI30k/PDBs/6NUE_C_H.cif,True,195590,4699,1101,orig
83,6NUE,E,H,6NUE_E_H.cif,datasets/PRI30k/PDBs/6NUE_E_H.cif,True,195590,2334,1101,orig
84,6NUE,I,H,6NUE_I_H.cif,datasets/PRI30k/PDBs/6NUE_I_H.cif,True,248786,2504,1313,orig
85,6NUE,N,H,6NUE_N_H.cif,datasets/PRI30k/PDBs/6NUE_N_H.cif,True,195590,2621,1101,orig
86,6NUE,O,H,6NUE_O_H.cif,datasets/PRI30k/PDBs/6NUE_O_H.cif,True,195590,5434,1101,orig
87,6NUE,P,H,6NUE_P_H.cif,datasets/PRI30k/PDBs/6NUE_P_H.cif,True,195590,2150,1101,orig
88,7NGA,A,Y,7NGA_A_Y.cif,datasets/PRI30k/PDBs/7NGA_A_Y.cif,True,900242,25620,2637,orig
89,7NGA,A,X,7NGA_A_X.cif,datasets/PRI30k/PDBs/7NGA_A_X.cif,True,900494,25626,321,orig
90,8BTK,Ao,AT,8BTK_Ao_AT.cif,datasets/PRI30k/PDBs/8BTK_Ao_AT.cif,True,225854,1048,4256,orig
91,8BTK,Ay,AT,8BTK_Ay_AT.cif,datasets/PRI30k/PDBs/8BTK_Ay_AT.cif,True,192542,683,3891,orig
92,8BTK,BC,B8,8BTK_BC_B8.cif,datasets/PRI30k/PDBs/8BTK_BC_B8.cif,True,529304,2887,3335,orig
93,8BTK,BD,B7,8BTK_BD_B7.cif,datasets/PRI30k/PDBs/8BTK_BD_B7.cif,True,423989,2398,2585,orig
94,8BTK,BF,B7,8BTK_BF_B7.cif,datasets/PRI30k/PDBs/8BTK_BF_B7.cif,True,380469,1886,2585,orig
95,8BTK,BG,B8,8BTK_BG_B8.cif,datasets/PRI30k/PDBs/8BTK_BG_B8.cif,True,443454,1877,3335,orig
96,8BTK,Bh,B8,8BTK_Bh_B8.cif,datasets/PRI30k/PDBs/8BTK_Bh_B8.cif,True,370014,1013,3335,orig
97,8BTK,BI,B7,8BTK_BI_B7.cif,datasets/PRI30k/PDBs/8BTK_BI_B7.cif,True,366274,1719,2585,orig
98,8BTK,BI,AT,8BTK_BI_AT.cif,datasets/PRI30k/PDBs/8BTK_BI_AT.cif,True,282889,1719,4927,orig
99,8BTK,BJ,B7,8BTK_BJ_B7.cif,datasets/PRI30k/PDBs/8BTK_BJ_B7.cif,True,335929,1362,2585,orig
100,8BTK,Bj,B8,8BTK_Bj_B8.cif,datasets/PRI30k/PDBs/8BTK_Bj_B8.cif,True,345364,723,3335,orig
101,8BTK,BJ,AT,8BTK_BJ_AT.cif,datasets/PRI30k/PDBs/8BTK_BJ_AT.cif,True,252544,1362,4570,orig
102,8BTK,BL,B8,8BTK_BL_B8.cif,datasets/PRI30k/PDBs/8BTK_BL_B8.cif,True,321989,0,3335,orig;low_chain_count
103,8BTK,Bl,B8,8BTK_Bl_B8.cif,datasets/PRI30k/PDBs/8BTK_BL_B8.cif,True,321989,448,3335,upper_all
104,8BTK,BN,B8,8BTK_BN_B8.cif,datasets/PRI30k/PDBs/8BTK_BN_B8.cif,True,429429,1712,3335,orig
105,8BTK,Bo,AT,8BTK_Bo_AT.cif,datasets/PRI30k/PDBs/8BTK_Bo_AT.cif,True,210299,865,4073,orig
106,8BTK,BP,B8,8BTK_BP_B8.cif,datasets/PRI30k/PDBs/8BTK_BP_B8.cif,True,393559,1290,3335,orig
107,8BTK,BS,B7,8BTK_BS_B7.cif,datasets/PRI30k/PDBs/8BTK_BS_B7.cif,True,344004,1457,2585,orig
108,8BTK,BT,B7,8BTK_BT_B7.cif,datasets/PRI30k/PDBs/8BTK_BT_B7.cif,True,330659,1300,2585,orig
109,8BTK,BX,B8,8BTK_BX_B8.cif,datasets/PRI30k/PDBs/8BTK_BX_B8.cif,True,366104,967,3335,orig
110,8BTK,BY,B8,8BTK_BY_B8.cif,datasets/PRI30k/PDBs/8BTK_BY_B8.cif,True,378684,1115,3335,orig
111,6G3B,A,C,6G3B_A_C.cif,datasets/PRI30k/PDBs/6G3B_A_C.cif,True,190316,7601,3838,orig
112,6G3B,B,C,6G3B_B_C.cif,datasets/PRI30k/PDBs/6G3B_B_C.cif,True,193094,2665,3820,orig
113,7Y7E,4,b,7Y7E_4_b.cif,datasets/PRI30k/PDBs/7Y7E_4_b.cif,True,255122,9890,2561,orig
114,7Y7E,C,X,7Y7E_C_X.cif,datasets/PRI30k/PDBs/7Y7E_C_X.cif,True,154577,3973,279,orig
115,7Y7E,f,b,7Y7E_f_b.cif,datasets/PRI30k/PDBs/7Y7E_f_b.cif,True,333242,1410,2561,orig
116,7Y7E,f,Z,7Y7E_f_Z.cif,datasets/PRI30k/PDBs/7Y7E_f_Z.cif,True,257306,1410,1696,orig
117,7Y7E,I,Z,7Y7E_I_Z.cif,datasets/PRI30k/PDBs/7Y7E_I_Z.cif,True,224714,1109,1686,orig
118,7Y7E,l,b,7Y7E_l_b.cif,datasets/PRI30k/PDBs/7Y7E_l_b.cif,True,305102,1091,2561,orig
119,7Y7E,l,V,7Y7E_l_V.cif,datasets/PRI30k/PDBs/7Y7E_l_V.cif,True,227234,1091,1745,orig
120,7Y7E,n,b,7Y7E_n_b.cif,datasets/PRI30k/PDBs/7Y7E_n_b.cif,True,289730,899,2561,orig
121,7Y7E,u,b,7Y7E_u_b.cif,datasets/PRI30k/PDBs/7Y7E_u_b.cif,True,278054,759,2561,orig
122,7Y7E,v,b,7Y7E_v_b.cif,datasets/PRI30k/PDBs/7Y7E_v_b.cif,True,267554,629,2561,orig
123,7Y7E,v,Z,7Y7E_v_Z.cif,datasets/PRI30k/PDBs/7Y7E_v_Z.cif,True,189342,629,1671,orig
124,3K61,A,B,3K61_A_B.cif,datasets/PRI30k/PDBs/3K61_A_B.cif,True,272431,11334,694,orig
125,3I61,A,B,3I61_A_B.cif,datasets/PRI30k/PDBs/3I61_A_B.cif,True,355634,14472,738,orig
126,3BSU,A,D,3BSU_A_D.cif,datasets/PRI30k/PDBs/3BSU_A_D.cif,True,56204,1704,337,orig
127,3BSU,B,D,3BSU_B_D.cif,datasets/PRI30k/PDBs/3BSU_B_D.cif,True,54884,527,364,orig
128,3BSU,C,D,3BSU_C_D.cif,datasets/PRI30k/PDBs/3BSU_C_D.cif,True,55181,1667,335,orig
129,3BSU,F,I,3BSU_F_I.cif,datasets/PRI30k/PDBs/3BSU_F_I.cif,True,55610,444,292,orig
130,3BSU,G,I,3BSU_G_I.cif,datasets/PRI30k/PDBs/3BSU_G_I.cif,True,54010,657,292,orig
131,3BSU,H,I,3BSU_H_I.cif,datasets/PRI30k/PDBs/3BSU_H_I.cif,True,53009,696,287,orig
132,6QTZ,b,x,6QTZ_b_x.cif,datasets/PRI30k/PDBs/6QTZ_b_x.cif,True,334306,1769,2579,orig
133,6QTZ,D,y,6QTZ_D_y.cif,datasets/PRI30k/PDBs/6QTZ_D_y.cif,True,466900,3032,3317,orig
134,6QTZ,E,x,6QTZ_E_x.cif,datasets/PRI30k/PDBs/6QTZ_E_x.cif,True,306818,1775,2579,orig
135,6QTZ,H,y,6QTZ_H_y.cif,datasets/PRI30k/PDBs/6QTZ_H_y.cif,True,394490,1952,3317,orig
136,6QTZ,i,y,6QTZ_i_y.cif,datasets/PRI30k/PDBs/6QTZ_i_y.cif,True,318514,697,3317,orig
137,6QTZ,k,y,6QTZ_k_y.cif,datasets/PRI30k/PDBs/6QTZ_k_y.cif,True,288799,435,3317,orig
138,6QTZ,O,y,6QTZ_O_y.cif,datasets/PRI30k/PDBs/6QTZ_O_y.cif,True,387667,9539,3317,orig
139,6QTZ,P,x,6QTZ_P_x.cif,datasets/PRI30k/PDBs/6QTZ_P_x.cif,True,366338,3044,2579,orig
140,6QTZ,q,x,6QTZ_q_x.cif,datasets/PRI30k/PDBs/6QTZ_q_x.cif,True,331700,1674,2579,orig
141,6QTZ,S,x,6QTZ_S_x.cif,datasets/PRI30k/PDBs/6QTZ_S_x.cif,True,309358,1835,2579,orig
142,6QTZ,T,x,6QTZ_T_x.cif,datasets/PRI30k/PDBs/6QTZ_T_x.cif,True,300812,5295,2579,orig
143,6QTZ,U,y,6QTZ_U_y.cif,datasets/PRI30k/PDBs/6QTZ_U_y.cif,True,349398,2224,3317,orig
144,6QTZ,W,y,6QTZ_W_y.cif,datasets/PRI30k/PDBs/6QTZ_W_y.cif,True,329070,958,3317,orig
145,6QTZ,X,y,6QTZ_X_y.cif,datasets/PRI30k/PDBs/6QTZ_X_y.cif,True,331072,984,3317,orig
146,6QTZ,Z,y,6QTZ_Z_y.cif,datasets/PRI30k/PDBs/6QTZ_Z_y.cif,True,293111,18,3317,orig
147,6QTZ,z,y,6QTZ_z_y.cif,datasets/PRI30k/PDBs/6QTZ_Z_y.cif,True,293111,492,3317,prot_chain_upper
148,7KJW,A,C,7KJW_A_C.cif,datasets/PRI30k/PDBs/7KJW_A_C.cif,True,390287,15126,6698,orig
149,7KJW,A,D,7KJW_A_D.cif,datasets/PRI30k/PDBs/7KJW_A_D.cif,True,389639,15076,1312,orig
150,7VKL,A,B,7VKL_A_B.cif,datasets/PRI30k/PDBs/7VKL_A_B.cif,True,123855,4570,389,orig
151,4U25,BF,BB,4U25_BF_BB.cif,datasets/PRI30k/PDBs/4U25_BF_BB.cif,True,330608,1412,2566,orig
152,4U25,BM,BB,4U25_BM_BB.cif,datasets/PRI30k/PDBs/4U25_BM_BB.cif,True,302554,1074,2566,orig
153,4U25,BO,BB,4U25_BO_BB.cif,datasets/PRI30k/PDBs/4U25_BO_BB.cif,True,287448,892,2566,orig
154,4U25,BV,BB,4U25_BV_BB.cif,datasets/PRI30k/PDBs/4U25_BV_BB.cif,True,275994,754,2566,orig
155,4U25,BW,BB,4U25_BW_BB.cif,datasets/PRI30k/PDBs/4U25_BW_BB.cif,True,261552,580,2566,orig
156,4U25,BZ,BB,4U25_BZ_BB.cif,datasets/PRI30k/PDBs/4U25_BZ_BB.cif,True,253694,449,2566,orig
157,4U25,DF,DB,4U25_DF_DB.cif,datasets/PRI30k/PDBs/4U25_DF_DB.cif,True,328782,1411,2548,orig
158,4U25,DM,DB,4U25_DM_DB.cif,datasets/PRI30k/PDBs/4U25_DM_DB.cif,True,300811,1074,2548,orig
159,4U25,DO,DB,4U25_DO_DB.cif,datasets/PRI30k/PDBs/4U25_DO_DB.cif,True,285705,892,2548,orig
160,4U25,DV,DB,4U25_DV_DB.cif,datasets/PRI30k/PDBs/4U25_DV_DB.cif,True,274251,754,2548,orig
161,4U25,DW,DB,4U25_DW_DB.cif,datasets/PRI30k/PDBs/4U25_DW_DB.cif,True,258896,569,2548,orig
162,2ZKO,A,C,2ZKO_A_C.cif,datasets/PRI30k/PDBs/2ZKO_A_C.cif,True,87716,2608,2239,orig
163,2ZKO,A,D,2ZKO_A_D.cif,datasets/PRI30k/PDBs/2ZKO_A_D.cif,True,86212,2603,562,orig
164,2ZKO,B,C,2ZKO_B_C.cif,datasets/PRI30k/PDBs/2ZKO_B_C.cif,True,85981,738,2239,orig
165,2ZKO,B,D,2ZKO_B_D.cif,datasets/PRI30k/PDBs/2ZKO_B_D.cif,True,84490,733,562,orig
166,6XZ7,F,B,6XZ7_F_B.cif,datasets/PRI30k/PDBs/6XZ7_F_B.cif,True,323786,1411,2752,orig
167,6XZ7,M,B,6XZ7_M_B.cif,datasets/PRI30k/PDBs/6XZ7_M_B.cif,True,300226,4789,2712,orig
168,6XZ7,M,g,6XZ7_M_g.cif,datasets/PRI30k/PDBs/6XZ7_M_g.cif,True,225278,4153,1668,orig
169,6XZ7,O,B,6XZ7_O_B.cif,datasets/PRI30k/PDBs/6XZ7_O_B.cif,True,282395,6410,2697,orig
170,6XZ7,V,B,6XZ7_V_B.cif,datasets/PRI30k/PDBs/6XZ7_V_B.cif,True,270488,809,2677,orig
171,6XZ7,W,B,6XZ7_W_B.cif,datasets/PRI30k/PDBs/6XZ7_W_B.cif,True,259636,580,2653,orig
172,6XZ7,Z,B,6XZ7_Z_B.cif,datasets/PRI30k/PDBs/6XZ7_Z_B.cif,True,245864,461,2641,orig
173,7ELM,D,J,7ELM_D_J.cif,datasets/PRI30k/PDBs/7ELM_D_J.cif,True,300792,2823,1271,orig
174,7ELM,H,J,7ELM_H_J.cif,datasets/PRI30k/PDBs/7ELM_H_J.cif,True,297553,2809,1271,orig
175,7ELM,I,J,7ELM_I_J.cif,datasets/PRI30k/PDBs/7ELM_I_J.cif,True,214998,1565,1271,orig
176,7ELM,K,T,7ELM_K_T.cif,datasets/PRI30k/PDBs/7ELM_K_T.cif,True,263978,2065,4790,orig
177,7ELM,L,T,7ELM_L_T.cif,datasets/PRI30k/PDBs/7ELM_L_T.cif,True,284202,3421,5117,orig
178,7ELM,M,T,7ELM_M_T.cif,datasets/PRI30k/PDBs/7ELM_M_T.cif,True,276776,5733,5067,orig
179,7ELM,N,T,7ELM_N_T.cif,datasets/PRI30k/PDBs/7ELM_N_T.cif,True,303478,4181,5419,orig
180,7ELM,P,T,7ELM_P_T.cif,datasets/PRI30k/PDBs/7ELM_P_T.cif,True,304742,3290,5435,orig
181,7ELM,Q,T,7ELM_Q_T.cif,datasets/PRI30k/PDBs/7ELM_Q_T.cif,True,302451,2552,5406,orig
182,7ELM,R,T,7ELM_R_T.cif,datasets/PRI30k/PDBs/7ELM_R_T.cif,True,300634,3306,5383,orig
183,7ELM,S,T,7ELM_S_T.cif,datasets/PRI30k/PDBs/7ELM_S_T.cif,True,213892,1731,4111,orig
184,8PEG,4,8,8PEG_4_8.cif,datasets/PRI30k/PDBs/8PEG_4_8.cif,True,251453,13532,10802,orig
185,8PEG,a,X,8PEG_a_X.cif,datasets/PRI30k/PDBs/8PEG_a_X.cif,True,219944,1062,1685,orig
186,8PEG,C,V,8PEG_C_V.cif,datasets/PRI30k/PDBs/8PEG_C_V.cif,True,180302,4419,795,orig
187,8PEG,E,V,8PEG_E_V.cif,datasets/PRI30k/PDBs/8PEG_E_V.cif,True,141926,1517,781,orig
188,8PEG,e,W,8PEG_e_W.cif,datasets/PRI30k/PDBs/8PEG_e_W.cif,True,244594,1451,1632,orig
189,8PEG,G,X,8PEG_G_X.cif,datasets/PRI30k/PDBs/8PEG_G_X.cif,True,236306,2412,1685,orig
190,8PEG,h,8,8PEG_h_8.cif,datasets/PRI30k/PDBs/8PEG_h_8.cif,True,285446,1087,12015,orig
191,8PEG,z,W,8PEG_z_W.cif,datasets/PRI30k/PDBs/8PEG_z_W.cif,True,177182,635,1632,orig
192,5Z3G,c,B,5Z3G_c_B.cif,datasets/PRI30k/PDBs/5Z3G_c_B.cif,True,335600,989,4419,orig
193,5Z3G,D,C,5Z3G_D_C.cif,datasets/PRI30k/PDBs/5Z3G_D_C.cif,True,259862,2193,5329,orig
194,5Z3G,E,C,5Z3G_E_C.cif,datasets/PRI30k/PDBs/5Z3G_E_C.cif,True,193640,1515,4253,orig
195,5Z3G,G,B,5Z3G_G_B.cif,datasets/PRI30k/PDBs/5Z3G_G_B.cif,True,473270,4604,6399,orig
196,5Z3G,H,C,5Z3G_H_C.cif,datasets/PRI30k/PDBs/5Z3G_H_C.cif,True,268208,2345,5491,orig
197,5Z3G,K,B,5Z3G_K_B.cif,datasets/PRI30k/PDBs/5Z3G_K_B.cif,True,356114,1247,4719,orig
198,5Z3G,l,B,5Z3G_l_B.cif,datasets/PRI30k/PDBs/5Z3G_l_B.cif,True,333650,975,4391,orig
199,5Z3G,M,B,5Z3G_M_B.cif,datasets/PRI30k/PDBs/5Z3G_M_B.cif,True,495188,9421,6704,orig
200,5Z3G,n,B,5Z3G_n_B.cif,datasets/PRI30k/PDBs/5Z3G_n_B.cif,True,303698,582,3957,orig
201,5Z3G,P,B,5Z3G_P_B.cif,datasets/PRI30k/PDBs/5Z3G_P_B.cif,True,326474,1605,4287,orig
202,5Z3G,R,B,5Z3G_R_B.cif,datasets/PRI30k/PDBs/5Z3G_R_B.cif,True,375692,2138,4981,orig
203,5Z3G,T,B,5Z3G_T_B.cif,datasets/PRI30k/PDBs/5Z3G_T_B.cif,True,341294,5540,4503,orig
204,6VZ2,4,d,6VZ2_4_d.cif,datasets/PRI30k/PDBs/6VZ2_4_d.cif,True,427192,18001,3883,orig
